Region,Rainfall,Temperature,Soil_Moisture,Soil_pH,Nitrogen,Phosphorus,Potassium,Irrigation,Crop_Area,Fertilizer,Pesticide,Sunlight,Humidity,Altitude,Wind_Speed,Groundwater,Crop_Diversity,Mechanization,Yield_Variance,Avg_Yield,Date
Punjab,650.0,24,45.0,7.2,80.0,40.0,45,95.0,4200,9999 INR,12,8h,60.0,250,10,15.0,0.75,0.85,0.15,4.5,2023-01-01
punjab,650.0,,45.0,seven.two,80.0,40.0,45,95.0,4200,9999,12,8 hours,60.0,250,10,15.0,75%,0.85,0.15,4.5,01/01/23
Haryana,600.0,25,,7.5,75.0,38.0,42,90.0,3800,210 USD,eleven,8.2,58.0,240,11,14.0,0.7,0.82,0.18,4.2,2023/02/01
Uttar Pradesh,900.0,26C,50.0,6.8,70.0,35.0,40,75.0,5000,one eighty,10,7.5,65.0,150,8,18.0,0.65,0.7,0.22,,02-01-2023
Rajasthan,-50.0,30,30.0,8.0,50.0,25.0,30,40.0,3500,140,8,,40.0,300,15,25.0,0.5,0.6,0.3,2.5,2023.03.01
Maharashtra,700.0,120,38.0,6.5,60.0,30.0,35,55.0,4500,160,9,8.5h,55.0,400,12,20.0,0.6,0.65,0.25,3.2,"March 1, 2023"
Gujarat,600.0,29,35.0,14.5,55.0,28.0,33,60.0,3700,150,8,9,50.0,200,13,22.0,0.58,0.68,0.28,3.0,2023-03-01
Madhya Pradesh,850.0,27,48.0,6.9,,32.0,37,65.0,4800,170,9,8,62.0,300,10,18.0,0.62,0.66,0.2,3.6,01-03-23
Bihar,1100.0,26,55.0,6.7,72.0,36.0,39,70.0,5200,175,,7.8,68.0,120,7,16.0,0.68,0.6,0.24,3.7,2023/03/01
West Bengal,1400.0,25,60.0,6.5,78.0,38.0,42,80.0,4600,190,11,7.5,,100,6,14.0,0.72,0.65,0.18,4.0,03/01/2023
Tamil Nadu,800.0,29,40.0,7.0,68.0,34.0,36,85.0,1000000,200,12,9,65.0,200,9,12.0,0.7,0.78,0.16,4.1,2023-04-01
Karnataka,750.0,27,42.0,6.8,66.0,33.0,35,60.0,4200,165,9,8.5,60.0,600,11,,0.65,0.72,0.23,3.5,04/01/23
Kerala,1800.0,26,65.0,5.8,85.0,42.0,45,70.0,3000,210,13,6.5,80.0,-500,5,10.0,0.8,0.6,0.2,3.9,2023/04/01
Andhra Pradesh,900.0,28,45.0,6.9,70.0,35.0,38,75.0,4100,185,10,8.5,65.0,150,9,17.0,0.68,,0.19,3.8,01-Apr-2023
Telangana,800.0,29,40.0,7.1,65.0,32.0,36,65.0,3900,170,9,8.7,58.0,300,10,21.0,0.63,0.7,,3.4,2023-04-01
Odisha,1200.0,27,55.0,6.6,75.0,37.0,800,68.0,4300,180,10,7.8,72.0,120,8,15.0,0.7,0.62,0.22,3.9,2023-04-01
Chhattisgarh,1300.0,26,58.0,6.4,80.0,,42,60.0,4100,175,9,7.5,74.0,200,7,14.0,0.72,0.58,0.2,3.8,2023-04-01
Assam,2000.0,25,70.0,5.5,90.0,45.0,48,,3200,200,11,6,85.0,80,5,12.0,0.78,0.55,0.18,3.7,2023-04-01
Jharkhand,1100.0,26,52.0,6.7,68.0,34.0,37,55.0,3500,160,9,7.8,70.0,250,fast,18.0,0.66,0.6,0.24,3.5,2023-04-01
Himachal Pradesh,1200.0,,50.0,6.5,60.0,30.0,32,50.0,2000,140,7,7,65.0,1200,6,10.0,0.75,0.65,0.15,3.2,2023-04-01
Uttarakhand,,22,55.0,6.4,62.0,31.0,34,55.0,2200,price not available,8,7.2,68.0,1000,7,12.0,0.76,0.68,0.17,3.3,2023-04-01
Bihar,1100.0,26,55.0,6.7,72.0,36.0,39,70.0,5200,175,,7.8,68.0,120,7,16.0,0.68,0.6,0.24,3.7,2023-03-01
Bihaar,1100.0,26,55.0,6.7,72.0,36.0,39,70.0,5200,175,,7.8,68.0,120,7,16.0,0.68,0.6,0.24,3.7,2023-03-01
